Rk,Name,Age,Tm,Pit/PA,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,AS/Pit,Con,1st%,30%,2%,L/SO%
162,Kyle Crick\crickky01,26,PIT,4.13,62.40%,27.60%,21.40%,29.80%,21.10%,72.40%,45.20%,70.40%,58.00%,6.20%,25.70%,21.30%
163,Johnny Cueto\cuetojo01,33,SFG,3.96,59.60%,28.50%,14.60%,28.50%,28.50%,71.50%,42.60%,79.60%,67.20%,4.50%,10.40%,38.50%
164,Charlie Culberson\culbech01,30,ATL,5.2,53.80%,28.60%,0.00%,46.40%,25.00%,71.40%,38.50%,100.00%,20.00%,20.00%,20.00%,100.00%
165,John Curtiss\curtijo02,26,LAA,4,54.20%,26.90%,19.20%,23.10%,30.80%,73.10%,39.60%,73.70%,41.70%,8.30%,25.00%,0.00%
166,Yu Darvish\darviyu01,32,CHC,3.9,66.00%,26.70%,22.30%,27.80%,23.20%,73.30%,48.30%,69.60%,62.40%,4.00%,29.80%,27.50%
167,Zach Davies\davieza02,26,MIL,3.97,61.00%,28.40%,12.40%,27.60%,31.60%,71.60%,43.70%,82.70%,53.30%,4.30%,17.80%,39.20%
168,Austin Davis*\davisau01,26,PHI,4.15,62.90%,25.00%,19.10%,33.60%,22.30%,75.00%,47.20%,74.50%,56.10%,6.10%,27.60%,33.30%
169,Chris Davis\davisch02,33,BAL,4.4,72.70%,6.30%,6.30%,62.50%,25.00%,93.80%,68.20%,93.30%,80.00%,20.00%,20.00%,0.00%
170,Rookie Davis\davisro03,26,PIT,3.76,60.90%,18.80%,19.70%,33.30%,28.20%,81.20%,49.50%,75.80%,54.90%,9.80%,19.60%,10.00%
171,Taylor Davis\davista01,29,CHC,2,83.30%,10.00%,0.00%,30.00%,60.00%,90.00%,75.00%,100.00%,66.70%,0.00%,33.30%,
172,Wade Davis\daviswa01,33,COL,4.07,58.80%,25.20%,18.90%,29.00%,27.00%,74.80%,44.00%,74.80%,56.30%,8.30%,18.00%,19.00%
173,Grant Dayton*\daytogr01,31,ATL,4,63.20%,20.20%,20.90%,33.30%,25.60%,79.80%,50.50%,73.80%,54.90%,5.90%,29.40%,7.10%
174,Chase De Jong\dejonch01,25,MIN,5.11,52.20%,16.70%,8.30%,50.00%,25.00%,83.30%,43.50%,90.00%,22.20%,0.00%,11.10%,
175,Jose De Leon\deleojo03,26,TBR,3.81,62.50%,20.00%,36.00%,26.00%,18.00%,80.00%,50.00%,55.00%,42.90%,4.80%,19.00%,0.00%
176,Enyel De Los Santos\delosen01,23,PHI,3.83,67.00%,26.30%,18.60%,28.00%,27.10%,73.70%,49.40%,74.70%,56.50%,4.30%,39.10%,22.20%
177,Jacob deGrom\degroja01,31,NYM,4.09,67.40%,20.70%,24.80%,32.00%,22.40%,79.30%,53.40%,68.70%,63.80%,2.90%,33.50%,17.30%
178,Miguel Del Pozo*\delpomi01,26,LAA,4.07,60.10%,23.60%,19.10%,33.60%,23.60%,76.40%,45.90%,75.00%,53.30%,6.70%,33.30%,45.50%
179,Daniel Descalso\descada01,32,CHC,2.8,64.30%,0.00%,0.00%,44.40%,55.60%,100.00%,64.30%,100.00%,60.00%,0.00%,0.00%,
180,Anthony DeSclafani\desclan01,29,CIN,3.83,64.20%,25.00%,17.70%,29.50%,27.80%,75.00%,48.10%,76.40%,61.10%,4.30%,25.70%,31.70%
181,Ian Desmond\desmoia01,33,COL,3.75,66.70%,20.00%,10.00%,30.00%,40.00%,80.00%,53.30%,87.50%,50.00%,0.00%,25.00%,
182,Odrisamer Despaigne\despaod01,32,CHW,3.7,56.90%,23.40%,10.30%,29.70%,36.60%,76.60%,43.50%,86.50%,53.60%,7.20%,21.70%,0.00%
183,Ross Detwiler*\detwiro01,33,CHW,3.66,62.90%,25.50%,12.10%,29.50%,32.80%,74.50%,46.80%,83.80%,58.20%,4.10%,20.90%,23.90%
184,Chris Devenski\devench02,28,HOU,3.83,64.40%,24.40%,21.30%,26.90%,27.40%,75.60%,48.70%,71.80%,67.90%,4.70%,25.80%,16.70%
185,Edwin Diaz\diazed04,25,NYM,4.22,65.50%,21.10%,29.70%,30.90%,18.30%,78.90%,51.70%,62.30%,63.40%,3.90%,37.00%,16.20%
186,Jairo Diaz\diazja01,28,COL,3.61,65.10%,20.90%,23.40%,27.90%,27.90%,79.10%,51.50%,70.50%,64.20%,2.40%,25.60%,17.50%
187,Miguel Diaz\diazmi02,24,SDP,3.52,63.70%,33.80%,12.30%,20.00%,33.80%,66.20%,42.20%,81.40%,65.50%,6.90%,27.60%,25.00%
188,Yennsy Diaz\diazye01,22,TOR,4.71,42.40%,14.30%,21.40%,42.90%,21.40%,85.70%,36.40%,75.00%,28.60%,0.00%,28.60%,
189,Phillip Diehl*\diehlph01,24,COL,3.94,65.20%,26.70%,27.80%,18.90%,26.70%,73.30%,47.80%,62.10%,60.00%,5.70%,34.30%,12.50%
190,Jake Diekman*\diekmja01,32,TOT,4.2,62.80%,28.30%,25.30%,26.50%,19.90%,71.70%,45.00%,64.70%,59.20%,4.60%,35.80%,25.00%
191,Brandon Dixon\dixonbr01,27,DET,3.11,60.70%,35.30%,0.00%,29.40%,35.30%,64.70%,39.30%,100.00%,44.40%,0.00%,22.20%,100.00%
192,Randy Dobnak\dobnara01,24,MIN,3.62,67.90%,22.80%,21.40%,25.90%,30.00%,77.20%,52.50%,72.30%,61.90%,2.50%,28.00%,17.40%
193,Seranthony Dominguez\dominse01,24,PHI,4.22,63.60%,25.80%,23.10%,28.10%,23.10%,74.20%,47.20%,68.90%,56.40%,6.40%,25.50%,31.00%
194,Sean Doolittle*\doolise01,32,WSN,4.13,69.80%,15.20%,19.90%,41.30%,23.60%,84.80%,59.20%,76.60%,66.90%,1.90%,41.90%,9.10%
195,Kyle Dowdy\dowdyky01,26,TEX,3.98,58.20%,27.50%,15.70%,27.80%,29.00%,72.50%,42.20%,78.40%,52.70%,7.30%,19.10%,17.60%
196,Brian Dozier\doziebr01,32,WSN,3.2,56.30%,22.20%,0.00%,22.20%,55.60%,77.80%,43.80%,100.00%,20.00%,20.00%,0.00%,
197,Oliver Drake\drakeol01,32,TBR,4.29,65.60%,24.70%,27.10%,27.30%,20.80%,75.30%,49.40%,63.90%,59.10%,2.70%,30.00%,14.30%
198,Tyler Duffey\duffety01,28,MIN,4.12,65.70%,22.80%,25.50%,30.30%,21.40%,77.20%,50.70%,67.00%,67.20%,2.90%,29.00%,12.20%
199,Danny Duffy*\duffyda01,30,KCR,3.89,63.70%,25.40%,18.00%,28.60%,28.10%,74.60%,47.50%,75.90%,59.80%,4.50%,28.50%,30.40%
200,Robert Dugger\duggero01,23,MIA,3.64,60.90%,24.00%,16.80%,27.70%,31.50%,76.00%,46.30%,77.90%,57.10%,5.10%,15.40%,24.00%
201,Zach Duke*\dukeza01,36,CIN,3.85,56.40%,28.70%,17.00%,24.80%,29.60%,71.30%,40.20%,76.20%,53.80%,5.70%,27.40%,27.80%
202,Ryan Dull\dullry01,29,TOT,3.8,60.40%,26.40%,18.40%,25.80%,29.40%,73.60%,44.40%,75.00%,70.40%,5.60%,16.90%,26.70%
203,Justin Dunn\dunnju01,23,SEA,4.53,53.70%,38.40%,13.70%,26.00%,21.90%,61.60%,33.10%,77.80%,56.70%,16.70%,40.00%,20.00%
204,Mike Dunn*\dunnmi01,34,COL,3.97,62.30%,25.50%,19.10%,26.60%,28.70%,74.50%,46.40%,74.30%,52.60%,6.60%,19.70%,13.30%
205,Jon Duplantier\duplajo01,24,ARI,4.13,61.30%,28.00%,14.70%,31.80%,25.50%,72.00%,44.20%,79.60%,56.10%,3.70%,25.00%,17.60%
206,Montana DuRapau\durapmo01,27,PIT,3.8,62.00%,25.00%,24.10%,24.10%,26.90%,75.00%,46.50%,67.90%,61.10%,6.70%,20.00%,27.30%
207,Sam Dyson\dysonsa01,31,TOT,3.41,67.00%,25.70%,13.70%,29.20%,31.30%,74.30%,49.80%,81.50%,63.50%,2.40%,20.90%,36.40%
208,Ryan Eades\eadesry01,27,TOT,4.06,63.10%,23.40%,16.40%,34.40%,25.80%,76.60%,48.30%,78.60%,54.00%,4.00%,26.00%,20.00%
209,Carl Edwards Jr.\edwarca01,27,TOT,4.38,61.30%,23.10%,17.90%,37.70%,21.20%,76.90%,47.10%,76.70%,50.60%,8.90%,30.40%,21.10%
210,Jon Edwards\edwarjo02,31,CLE,3.97,58.00%,26.50%,22.90%,22.90%,27.70%,73.50%,42.70%,68.90%,55.60%,8.30%,27.80%,20.00%
211,Zach Eflin\eflinza01,25,PHI,3.65,65.60%,27.10%,14.80%,27.10%,30.90%,72.90%,47.80%,79.70%,68.20%,3.10%,25.40%,27.90%
212,Jerad Eickhoff\eickhje01,28,PHI,3.98,62.10%,26.80%,19.20%,25.30%,28.80%,73.20%,45.40%,73.80%,63.70%,4.10%,20.40%,35.30%
213,Roenis Elias*\eliasro01,30,TOT,3.9,64.20%,23.30%,20.30%,28.70%,27.70%,76.70%,49.20%,73.50%,61.60%,2.80%,22.70%,25.50%
214,Chris Ellis\ellisch01,26,KCR,3.4,47.10%,25.00%,0.00%,25.00%,50.00%,75.00%,35.30%,100.00%,60.00%,40.00%,20.00%,
215,Nathan Eovaldi\eovalna01,29,BOS,4.19,62.00%,29.10%,18.60%,27.60%,24.70%,70.90%,44.00%,73.70%,65.20%,6.00%,34.40%,37.10%
216,Robbie Erlin*\erlinro01,28,SDP,3.82,63.50%,24.60%,17.90%,27.40%,30.00%,75.40%,47.90%,76.30%,64.50%,2.00%,22.30%,26.90%
217,Luis Escobar\escoblu01,23,PIT,3.59,56.70%,18.60%,16.90%,27.10%,37.30%,81.40%,46.20%,79.20%,51.70%,17.20%,13.80%,0.00%
218,Tom Eshelman\eshelto01,25,BAL,3.71,64.90%,27.60%,11.10%,28.40%,32.90%,72.40%,47.00%,84.60%,54.90%,3.70%,20.10%,36.40%
219,Carlos Estevez\estevca01,26,COL,4.01,65.70%,24.30%,23.10%,27.70%,24.90%,75.70%,49.80%,69.50%,64.10%,5.80%,30.70%,18.50%
220,Marco Estrada\estrama01,35,OAK,3.85,62.30%,26.40%,12.60%,28.00%,33.10%,73.60%,45.80%,82.90%,58.50%,5.70%,19.80%,27.30%
221,Peter Fairbanks\fairbpe01,25,TOT,3.91,64.10%,26.60%,25.40%,23.40%,24.60%,73.40%,47.00%,65.40%,59.60%,5.10%,28.30%,17.90%
222,Jeurys Familia\familje01,29,NYM,3.79,60.50%,30.30%,20.20%,23.20%,26.30%,69.70%,42.20%,71.10%,54.90%,10.20%,22.50%,17.50%
223,Jake Faria\fariaja01,25,TOT,4.26,59.90%,22.90%,22.00%,29.40%,25.70%,77.10%,46.20%,71.40%,78.10%,4.20%,39.60%,21.10%
224,Buck Farmer\farmebu01,28,DET,4.01,61.70%,25.30%,22.20%,26.40%,26.00%,74.70%,46.10%,70.20%,60.60%,4.20%,20.10%,20.50%
225,Kyle Farmer\farmeky01,28,CIN,2.4,75.00%,22.20%,22.20%,0.00%,55.60%,77.80%,58.30%,71.40%,80.00%,0.00%,0.00%,
226,Luke Farrell\farrelu01,28,TEX,4.42,61.80%,32.80%,15.30%,26.70%,25.20%,67.20%,41.50%,77.30%,56.30%,6.30%,25.00%,33.30%
227,Erick Fedde\feddeer01,26,WSN,3.85,59.50%,27.30%,12.50%,26.50%,33.70%,72.70%,43.30%,82.80%,59.00%,6.30%,16.50%,24.40%
228,Tim Federowicz\federti01,31,TEX,2.17,76.90%,30.00%,0.00%,10.00%,60.00%,70.00%,53.80%,100.00%,50.00%,0.00%,0.00%,
229,Ryan Feierabend*\feierry01,33,TOR,3.59,70.20%,17.80%,19.20%,30.10%,32.90%,82.20%,57.70%,76.70%,55.20%,6.90%,34.50%,0.00%
230,Michael Feliz\felizmi01,26,PIT,4.23,64.30%,26.60%,21.30%,31.10%,21.00%,73.40%,47.10%,71.00%,62.90%,4.20%,30.80%,19.20%
231,Caleb Ferguson*\ferguca01,22,LAD,4.04,64.00%,23.90%,17.80%,36.10%,22.20%,76.10%,48.70%,76.60%,57.40%,5.90%,28.90%,35.20%
232,Jose Fernandez*\fernajo04,26,DET,3.35,58.40%,28.90%,11.10%,26.70%,33.30%,71.10%,41.60%,84.40%,52.20%,4.30%,26.10%,0.00%
233,Junior Fernandez\fernaju01,22,STL,4.04,56.00%,18.90%,35.20%,23.00%,23.00%,81.10%,45.40%,56.60%,53.70%,11.10%,22.20%,25.00%
234,Matt Festa\festama01,26,SEA,4.04,62.30%,27.60%,16.90%,29.50%,26.00%,72.40%,45.10%,76.60%,54.50%,5.90%,28.70%,28.60%
235,Mike Fiers\fiersmi01,34,OAK,3.83,65.20%,27.50%,13.20%,29.30%,29.90%,72.50%,47.30%,81.80%,64.90%,3.70%,28.40%,24.60%
236,Heath Fillmyer\fillmhe01,25,KCR,4.16,58.50%,27.50%,14.00%,28.70%,29.80%,72.50%,42.40%,80.70%,64.20%,4.60%,19.30%,33.30%
237,Jack Flaherty\flaheja01,23,STL,4.12,64.50%,25.50%,22.90%,28.20%,23.40%,74.50%,48.00%,69.30%,60.40%,3.50%,27.10%,23.80%
238,Chris Flexen\flexech01,24,NYM,3.91,58.40%,28.10%,14.40%,28.10%,29.40%,71.90%,42.00%,80.00%,50.00%,11.40%,18.60%,10.00%
239,Dylan Floro\florody01,28,LAD,3.7,67.00%,23.10%,19.90%,28.30%,28.70%,76.90%,51.50%,74.20%,63.20%,3.50%,25.90%,14.30%
240,Brian Flynn*\flynnbr01,29,KCR,3.66,59.60%,27.20%,14.40%,26.60%,31.80%,72.80%,43.40%,80.20%,62.10%,6.40%,17.90%,31.80%
241,Mike Foltynewicz\foltymi01,27,ATL,3.84,65.00%,24.90%,17.80%,29.10%,28.30%,75.10%,48.80%,76.40%,60.20%,3.30%,26.80%,23.80%
242,Wilmer Font\fontwi01,29,TOT,4.31,64.80%,24.70%,20.80%,31.60%,23.00%,75.30%,48.80%,72.40%,57.70%,3.60%,29.10%,20.00%
243,Mike Ford\fordmi01,26,NYY,3.5,66.70%,35.70%,7.10%,17.90%,39.30%,64.30%,42.90%,88.90%,58.30%,8.30%,25.00%,100.00%
244,Ty France\francty01,24,SDP,3.5,60.70%,29.40%,5.90%,17.60%,47.10%,70.60%,42.90%,91.70%,12.50%,12.50%,0.00%,
245,Enderson Franco\francen01,26,SFG,4.4,70.50%,17.70%,19.40%,38.70%,24.20%,82.30%,58.00%,76.50%,65.00%,0.00%,65.00%,0.00%
246,Caleb Frare*\frareca01,25,CHW,3.79,49.10%,34.60%,23.10%,15.40%,26.90%,65.40%,32.10%,64.70%,50.00%,14.30%,7.10%,33.30%
247,Kyle Freeland*\freelky01,26,COL,3.76,64.00%,24.30%,16.10%,28.60%,31.00%,75.70%,48.40%,78.80%,63.30%,4.90%,25.90%,25.30%
248,Mike Freeman\freemmi01,31,CLE,2.88,65.20%,26.70%,6.70%,13.30%,53.30%,73.30%,47.80%,90.90%,50.00%,0.00%,12.50%,
249,Sam Freeman*\freemsa01,32,LAA,3.64,60.00%,20.80%,0.00%,41.70%,37.50%,79.20%,47.50%,100.00%,72.70%,9.10%,36.40%,
250,Max Fried*\friedma01,25,ATL,3.8,64.60%,26.70%,19.00%,26.60%,27.70%,73.30%,47.40%,74.10%,63.90%,3.10%,23.60%,18.50%
251,Jace Fry*\fryja01,25,CHW,4.2,55.80%,27.60%,26.40%,22.80%,23.30%,72.40%,40.40%,63.60%,45.80%,9.20%,15.50%,16.20%
252,Paul Fry*\frypa01,26,BAL,4.19,60.10%,29.70%,18.10%,26.70%,25.50%,70.30%,42.30%,74.30%,51.40%,6.20%,19.10%,16.40%
253,Carson Fulmer\fulmeca01,25,CHW,4.18,62.20%,22.80%,18.50%,34.10%,24.60%,77.20%,48.00%,76.00%,60.20%,6.00%,30.80%,24.00%
254,Drew Gagnon\gagnodr01,29,NYM,3.54,65.50%,22.50%,18.50%,25.50%,33.60%,77.50%,50.70%,76.20%,58.10%,6.80%,24.80%,0.00%
255,Giovanny Gallegos\gallegi01,27,STL,4.06,68.40%,26.50%,25.40%,26.70%,21.40%,73.50%,50.20%,65.40%,65.10%,2.80%,37.70%,26.90%
256,Zac Gallen\galleza01,23,TOT,4.14,64.50%,28.40%,20.80%,28.70%,22.10%,71.60%,46.20%,71.00%,67.20%,5.10%,31.60%,20.80%
257,John Gant\gantjo01,26,STL,4.12,63.20%,25.40%,20.40%,29.10%,25.00%,74.60%,47.20%,72.60%,57.60%,5.90%,27.50%,18.30%
258,Bryan Garcia\garcibr01,24,DET,3.91,64.30%,21.70%,22.90%,30.10%,25.30%,78.30%,50.40%,70.80%,78.80%,0.00%,36.40%,14.30%
259,Edgar Garcia\garcied01,22,PHI,4.2,57.80%,25.40%,23.90%,26.60%,24.20%,74.60%,43.20%,67.90%,52.30%,9.90%,19.80%,17.80%
260,Jarlin Garcia*\garcija04,26,MIA,3.65,64.80%,27.40%,15.10%,27.00%,30.50%,72.60%,47.00%,79.20%,50.20%,6.30%,23.70%,17.90%
261,Luis Garcia\garcilu03,32,LAA,3.79,60.00%,24.70%,22.30%,24.10%,29.00%,75.30%,45.20%,70.40%,55.80%,5.00%,23.00%,10.50%
262,Rico Garcia\garciri01,25,COL,3.3,53.50%,30.20%,11.30%,15.10%,43.40%,69.80%,37.40%,83.80%,56.70%,6.70%,6.70%,0.00%
263,Yimi Garcia\garciyi01,28,LAD,4.04,65.70%,26.70%,19.40%,29.40%,24.50%,73.30%,48.20%,73.60%,62.80%,3.20%,30.00%,22.70%
264,Amir Garrett*\garream01,27,CIN,3.98,60.60%,27.00%,28.30%,22.90%,21.80%,73.00%,44.20%,61.20%,62.60%,8.10%,25.60%,20.50%
265,Reed Garrett\garrere01,26,DET,4.14,56.40%,23.30%,13.30%,33.90%,29.40%,76.70%,43.30%,82.60%,58.40%,6.50%,16.90%,10.00%
266,Ryan Garton\gartory01,29,SEA,4.5,57.10%,19.40%,16.70%,30.60%,33.30%,80.60%,46.00%,79.30%,42.90%,7.10%,7.10%,100.00%
267,Kevin Gausman\gausmke01,28,TOT,3.7,67.50%,21.30%,23.80%,28.30%,26.60%,78.70%,53.10%,69.80%,64.30%,5.30%,33.70%,9.60%
268,Sam Gaviglio\gavigsa01,29,TOR,3.63,65.70%,31.30%,19.20%,19.90%,29.60%,68.70%,45.10%,72.10%,66.00%,3.00%,22.30%,21.60%
269,Cory Gearrin\gearrco01,33,TOT,3.83,62.10%,29.00%,14.10%,28.10%,28.80%,71.00%,44.00%,80.10%,67.40%,5.40%,19.10%,31.90%
270,Domingo German\germado01,26,NYY,3.78,66.10%,25.20%,21.10%,27.00%,26.70%,74.80%,49.50%,71.80%,62.00%,1.90%,28.80%,21.60%
271,Ian Gibaut\gibauia01,25,TOT,4.14,59.90%,24.20%,19.30%,33.50%,23.00%,75.80%,45.40%,74.60%,53.80%,7.70%,27.70%,25.00%
272,Kyle Gibson\gibsoky01,31,MIN,3.9,61.50%,24.20%,22.20%,25.10%,28.40%,75.80%,46.60%,70.70%,63.60%,4.10%,24.70%,15.60%
273,Ken Giles\gileske01,28,TOR,3.88,66.70%,24.10%,30.40%,25.60%,20.00%,75.90%,50.60%,60.00%,59.80%,5.30%,32.50%,8.40%
274,Sean Gilmartin*\gilmase01,29,BAL,4.25,58.80%,35.00%,17.50%,15.00%,32.50%,65.00%,38.20%,73.10%,56.30%,0.00%,31.30%,100.00%
275,Kevin Ginkel\ginkeke01,25,ARI,4.14,61.20%,21.80%,25.10%,28.80%,24.30%,78.20%,47.90%,67.90%,59.40%,3.10%,28.10%,7.10%
276,Lucas Giolito\giolilu01,24,CHW,3.99,66.10%,25.00%,24.30%,28.30%,22.40%,75.00%,49.60%,67.60%,62.10%,2.70%,30.80%,18.40%
277,Mychal Givens\givenmy01,29,BAL,4.18,64.60%,22.30%,26.70%,30.40%,20.70%,77.70%,50.20%,65.70%,56.70%,5.00%,24.90%,11.60%
278,Tyler Glasnow\glasnty01,25,TBR,3.93,64.90%,32.60%,19.10%,24.40%,23.90%,67.40%,43.70%,71.60%,57.80%,3.50%,27.40%,32.90%
279,Zack Godley\godleza01,29,TOT,3.81,62.20%,25.80%,18.00%,26.20%,30.10%,74.20%,46.20%,75.80%,60.90%,6.40%,23.80%,14.30%
280,Jeanmar Gomez\gomezje01,31,TEX,3.7,62.60%,31.40%,9.50%,26.00%,33.10%,68.60%,43.00%,86.20%,63.00%,2.70%,27.40%,40.00%
281,Tony Gonsolin\gonsoto01,25,LAD,4.25,61.20%,23.10%,20.50%,30.40%,25.90%,76.90%,47.00%,73.30%,59.50%,3.70%,22.70%,13.50%
282,Marco Gonzales*\gonzama02,27,SEA,3.72,66.40%,28.20%,12.90%,28.30%,30.60%,71.80%,47.70%,82.00%,65.50%,3.90%,25.20%,36.10%
283,Chi Chi Gonzalez\gonzach01,27,COL,4.12,60.20%,27.40%,14.80%,29.00%,28.70%,72.60%,43.70%,79.60%,58.30%,5.80%,21.60%,21.70%
284,Gio Gonzalez*\gonzagi01,33,MIL,4.1,58.40%,24.20%,19.60%,27.50%,28.70%,75.80%,44.20%,74.10%,48.10%,6.80%,18.00%,12.80%
285,Nick Goody\goodyni01,27,CLE,4.1,64.10%,19.80%,25.50%,32.50%,22.20%,80.20%,51.40%,68.20%,54.30%,5.80%,34.10%,4.00%
286,Alex Gordon\gordoal01,35,KCR,3.65,51.60%,12.50%,6.30%,34.40%,46.90%,87.50%,45.20%,92.90%,35.30%,5.90%,23.50%,
287,Trevor Gott\gotttr01,26,SFG,4.24,65.60%,26.10%,17.90%,32.90%,23.10%,73.90%,48.50%,75.80%,60.00%,5.10%,27.90%,26.30%
288,Matt Grace*\gracema02,30,WSN,3.42,65.20%,28.10%,13.90%,23.30%,34.60%,71.90%,46.90%,80.60%,64.60%,3.90%,21.80%,28.60%
289,Brusdar Graterol\gratebr01,20,MIN,3.6,70.10%,25.70%,13.90%,33.70%,26.70%,74.30%,52.10%,81.30%,62.50%,5.00%,25.00%,30.00%
290,Jon Gray\grayjo02,27,COL,3.7,64.10%,25.70%,19.60%,26.60%,28.10%,74.30%,47.60%,73.60%,64.10%,4.40%,27.00%,17.30%
291,Sonny Gray\grayso01,29,CIN,4.1,61.00%,30.80%,19.70%,25.40%,24.10%,69.20%,42.20%,71.60%,55.50%,6.10%,22.30%,23.90%
292,Chad Green\greench03,28,NYY,4.45,65.60%,22.60%,22.80%,34.70%,19.90%,77.40%,50.80%,70.60%,68.90%,2.40%,42.90%,25.50%
293,Shane Greene\greensh02,30,TOT,3.77,65.60%,29.90%,18.60%,24.60%,27.00%,70.10%,46.00%,73.50%,66.30%,3.20%,26.20%,31.30%
294,Luke Gregerson\gregelu01,35,STL,3.71,62.50%,23.10%,7.70%,32.30%,36.90%,76.90%,48.10%,90.00%,53.60%,0.00%,14.30%,0.00%
295,Zack Greinke\greinza01,35,TOT,3.84,65.30%,28.30%,17.30%,25.40%,29.00%,71.70%,46.80%,75.90%,67.20%,1.90%,22.60%,23.00%
296,Zac Grotz\grotzza01,26,SEA,4.1,62.50%,31.60%,13.90%,29.90%,24.60%,68.40%,42.80%,79.70%,63.00%,2.70%,27.40%,33.30%
297,Robert Gsellman\gsellro01,25,NYM,3.86,63.00%,24.50%,19.70%,27.90%,27.90%,75.50%,47.60%,73.90%,58.50%,5.40%,24.50%,23.30%
298,Reymin Guduan*\guduare01,27,HOU,4.15,60.70%,33.80%,23.50%,17.60%,25.00%,66.20%,40.20%,64.40%,51.90%,7.40%,18.50%,50.00%
299,Deolis Guerra\guerrde01,30,MIL,2.83,82.40%,0.00%,21.40%,35.70%,42.90%,100.00%,82.40%,78.60%,83.30%,0.00%,50.00%,
300,Javy Guerra\guerrja01,33,TOT,3.75,70.10%,23.90%,14.20%,33.80%,28.10%,76.10%,53.30%,81.40%,63.10%,4.20%,35.50%,26.30%
301,Javy Guerra\guerrja02,23,SDP,3.72,61.90%,22.90%,13.30%,31.30%,32.50%,77.10%,47.80%,82.80%,69.40%,2.80%,11.10%,16.70%
302,Junior Guerra\guerrju02,34,MIL,4.05,61.70%,24.20%,19.80%,29.70%,26.40%,75.80%,46.80%,73.90%,58.10%,5.50%,27.60%,28.60%
303,Tayron Guerrero\guerrta01,28,MIA,4.15,61.30%,18.10%,23.00%,35.10%,23.70%,81.90%,50.20%,71.90%,63.10%,6.00%,35.90%,25.60%
304,Taylor Guerrieri\guerrta02,26,TEX,3.99,58.70%,30.90%,13.20%,30.90%,25.00%,69.10%,40.50%,80.90%,61.80%,3.30%,19.50%,33.30%
305,Taylor Guilbeau*\guilbta01,26,SEA,3.55,63.00%,30.70%,13.20%,21.10%,35.10%,69.30%,43.60%,81.00%,62.70%,7.80%,13.70%,28.60%
306,Jandel Gustave\gustaja01,26,SFG,3.53,67.00%,22.60%,14.50%,30.30%,32.50%,77.40%,51.90%,81.20%,66.70%,5.10%,26.30%,21.40%
307,Jedd Gyorko\gyorkje01,30,TOT,4,75.00%,0.00%,66.70%,33.30%,0.00%,100.00%,75.00%,33.30%,100.00%,0.00%,0.00%,0.00%
308,Josh Hader*\haderjo01,25,MIL,4.09,69.40%,15.00%,35.50%,34.00%,15.50%,85.00%,59.00%,58.20%,63.00%,2.40%,40.50%,10.10%
309,Jesse Hahn\hahnje01,29,KCR,3.96,60.70%,29.20%,21.50%,27.70%,21.50%,70.80%,43.00%,69.60%,66.70%,7.40%,29.60%,14.30%
310,David Hale\haleda02,31,NYY,3.83,64.60%,23.40%,13.10%,31.10%,32.40%,76.60%,49.50%,82.90%,53.50%,3.80%,18.50%,30.40%
311,Matt Hall*\hallma02,25,DET,4.43,59.70%,36.10%,16.40%,24.10%,23.40%,63.90%,38.10%,74.30%,51.30%,4.40%,29.20%,25.90%
312,Cole Hamels*\hamelco01,35,CHC,3.88,63.50%,25.40%,20.40%,27.20%,27.00%,74.60%,47.40%,72.70%,57.40%,5.20%,22.00%,21.00%
313,J.D. Hammer\hammejd01,24,PHI,4.15,59.80%,26.90%,15.40%,29.90%,27.90%,73.10%,43.80%,78.90%,63.00%,3.70%,18.50%,7.70%
314,Brad Hand*\handbr01,29,CLE,3.91,68.10%,30.30%,21.40%,27.20%,21.10%,69.70%,47.50%,69.30%,66.50%,3.70%,38.00%,21.40%
315,J.A. Happ*\happja01,36,NYY,3.97,62.70%,23.30%,18.20%,30.00%,28.50%,76.70%,48.10%,76.30%,58.60%,3.80%,23.70%,14.30%
316,Blaine Hardy*\hardybl01,32,DET,3.79,64.90%,26.00%,16.10%,26.60%,31.30%,74.00%,48.00%,78.20%,62.60%,3.30%,14.80%,13.80%
317,Ryne Harper\harpery01,30,MIN,3.86,68.80%,29.30%,17.20%,26.10%,27.40%,70.70%,48.70%,75.70%,64.00%,1.30%,31.60%,20.00%
318,Will Harris\harriwi10,34,HOU,4.07,62.40%,32.10%,20.10%,21.60%,26.20%,67.90%,42.40%,70.50%,61.30%,4.30%,22.20%,19.40%
319,Donnie Hart*\hartdo01,28,TOT,3.59,61.50%,25.00%,21.90%,18.80%,34.40%,75.00%,46.20%,70.80%,51.70%,10.30%,20.70%,0.00%
320,Geoff Hartlieb\hartlge01,25,PIT,3.77,62.90%,20.20%,18.70%,33.10%,28.00%,79.80%,50.20%,76.50%,57.20%,7.50%,26.00%,18.40%
321,Hunter Harvey\harvehu01,24,BAL,5.27,65.00%,24.70%,19.10%,43.80%,12.40%,75.30%,48.90%,74.60%,69.20%,3.80%,53.80%,27.30%
322,Joe Harvey\harvejo01,27,TOT,4.25,58.40%,26.50%,19.00%,29.90%,24.60%,73.50%,42.90%,74.20%,58.80%,9.40%,22.40%,47.10%
323,Matt Harvey\harvema01,30,LAA,3.74,60.70%,25.90%,16.00%,25.90%,32.20%,74.10%,44.90%,78.40%,62.90%,5.20%,21.30%,23.10%
